Name,ID,Abbreviation,Country
Australian Capital Territory,400,ACT,Australia
New South Wales,401,NSW,Australia
Northern Territory,402,NT,Australia
Queensland,403,QLD,Australia
South Australia,404,SA,Australia
Tasmania,405,TAS,Australia
Victoria,406,VIC,Australia
Western Australia,407,WA,Australia
Alberta,101,AB,Canada
British Columbia,102,BC,Canada
Manitoba,103,MB,Canada
New Brunswick,104,NB,Canada
Newfoundland,105,NL,Canada
Northwest Territories,107,NT,Canada
Nova Scotia,106,NS,Canada
Nunavut,108,NU,Canada
Ontario,109,ON,Canada
Prince Edward Island,110,PE,Canada
Quebec,111,QC,Canada
Saskatchewan,112,SK,Canada
Yukon,113,YT,Canada
Anhui Province,616,安徽省,China
Beijing,627,北京市,China
Chongqing,630,重庆市,China
Fujian Province,631,福建省,China
Gansu Province,605,甘肃省,China
Guangdong Province,622,广东省,China
Guangxi A. R.,623,广西壮族自治区,China
Guizhou Province,620,贵州省,China
Hainan Province,625,海南省,China
Hebei Province,609,河北省,China
Heilongjiang Province,601,黑龙江省,China
Henan Province,610,河南省,China
Hubei Province,617,湖北省,China
Hunan Province,618,湖南省,China
Jiangsu Province,614,江苏省,China
Jiangxi Province,621,江西省,China
Jilin Province,602,吉林省,China
Liaoning Province,603,辽宁省,China
Neimenggu A. R.,604,内蒙古,China
Ningxia A. R.,606,宁夏回族自治区,China
Qinghai Province,608,青海省,China
Shaanxi Province,613,陕西省,China
Shandong Province,611,山东省,China
Shanghai,628,上海市,China
Shanxi Province,612,山西省,China
Sichuan Province,619,四川省,China
Tianjin,629,天津市,China
Xinjiang A. R.,607,新疆维吾尔族自治区,China
Xizang A. R.,626,西藏藏族自治区,China
Yunnan Province,624,云南省,China
Zhejiang Province,615,浙江省,China
Aichi,722,愛知県,Japan
Akita,704,秋田県,Japan
Aomori,701,青森県,Japan
Chiba,711,千葉県,Japan
Ehime,737,愛媛県,Japan
Fukui,717,福井県,Japan
Fukuoka,739,福岡県,Japan
Fukushima,706,福島県,Japan
Gifu,720,岐阜県,Japan
Gunma,709,群馬県,Japan
Hiroshima,733,広島県,Japan
Hokkaidō,700,北海道,Japan
Hyōgo,727,兵庫県,Japan
Ibaraki,707,茨城県,Japan
Ishikawa,716,石川県,Japan
Iwate,702,岩手県,Japan
Kagawa,736,香川県,Japan
Kagoshima,745,鹿児島県,Japan
Kanagawa,713,神奈川県,Japan
Kochi,738,高知県,Japan
Kumamoto,742,熊本県,Japan
Kyoto,725,京都府,Japan
Mie,723,三重県,Japan
Miyagi,703,宮城県,Japan
